CO2,Light(lux),Temp(C),Greenhouse
0.425,0.1076,0.0872,1
0.425,0.1076,0.1298,1
0.425,0.1076,0.1354,1
0.421,0.1076,0.1434,1
0.416,0.1076,0.1476,1
0.425,0.1076,0.1834,1
0.432,0.1076,0.1852,1
0.432,0.1076,0.1765,1
0.432,0.1076,0.1534,1
0.425,0.1076,0.12876,1
0.425,0.1085,0.1345,1
0.416,0.1085,0.1555,1
0.421,0.1089,0.1598,1
0.421,0.1089,0.1487,1
0.421,0.1089,0.139,1
0.432,0.1094,0.119,1
0.432,0.1094,0.1063,1
0.425,0.1099,0.0845,1
0.425,0.1099,0.0654,1
0.425,0.1099,0.0586,1
0.425,0.1099,0.1684,1
0.425,0.1097,0.1124,1
0.421,0.1097,0.1426,1
0.421,0.1097,0.1541,1
0.421,0.109,0.1391,1
0.421,0.109,0.103,1
0.421,0.109,0.0963,1
0.414,0.1088,0.1145,1
0.421,0.1088,0.168,1
0.425,0.1088,0.192,1
0.416,0.1088,0.1193,1
0.416,0.1088,0.1294,1
0.416,0.1087,0.1355,1
0.432,0.1087,0.1047,1
0.421,0.1087,0.1638,1
0.425,0.1087,0.1579,1
0.425,0.1086,0.1374,1
0.425,0.1086,0.1495,1
0.432,0.1086,0.1124,1
0.432,0.1086,0.1023,1
0.432,0.1086,0.0924,1
0.435,0.1084,0.0872,1
0.421,0.1084,0.1298,1
0.432,0.1084,0.1354,1
0.432,0.1084,0.1434,1
0.432,0.1083,0.1476,1
0.441,0.1083,0.1834,1
0.435,0.1083,0.1852,1
0.441,0.1083,0.1765,1
0.425,0.1083,0.1534,1
0.409,0.1081,0.12876,1
0.409,0.1081,0.1345,1
0.402,0.1081,0.1555,1
0.402,0.1081,0.1598,1
0.4,0.1073,0.1487,1
0.402,0.1073,0.139,1
0.4,0.1073,0.119,1
0.4,0.1073,0.1063,1
0.4,0.1073,0.0845,1
0.4,0.107,0.0654,1
0.402,0.107,0.0586,1
0.4,0.107,0.1684,1
0.402,0.107,0.1397,1
0.414,0.1072,0.1785,1
0.432,0.1072,0.1594,1
0.432,0.1072,0.1686,1
0.432,0.1072,0.149,1
0.421,0.1072,0.183,1
